domain,platform,catalog_size_sampled,currency,sar_ok,brand_overlap_pct,model_overlap_pct,discoverable,discovery_method,integration_difficulty,connector,priority,confidence,note,sample_hits
"salla.sa/alnakheelksa","salla_or_zid","500","null","true","85","4","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","MEDIUM","0.9","salla/zid sitemap+json-ld","مكيف:مكيف ال جي سبليت جت كول وطني واي ف | مكيف:مكيف ال جي سبليت جت كول وطني واي ف | مكيف:مكيف ال جي جداري تايتان 30000 حار  | مكيف:مكيف ال جي جداري تايتان 30000 بارد"
"salla.sa/eazy.world","salla_or_zid","500","null","true","57","3","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.9","salla/zid sitemap+json-ld","samsung:جوال سامسونج A17 بسعة 128 قيقا 8 ر | koolen:هو فرن كهربائي من كولين 60 لتر 200 | koolen:شواية كولن الكهربائية بقدرة 2000 و | koolen:دفاية كولن ديكور مع تأثير لهب 2000"
"salla.sa/alruwnaq-world","salla_or_zid","460","null","true","86","2","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.9","salla/zid sitemap+json-ld","مكيف:مكيف باناسونيك سبليت 18000 وحدة –  | مكيف:تي سي ال مكيف شباك مع واي فاي وانف | مكيف:مكيف اوفال المطور الجديد نحاس كامل | مكيف:مكيف شباك هايسنس 18000 وحدة بارد"
"salla.sa/alhowaish","salla_or_zid","239","null","true","82","1","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.739","salla/zid sitemap+json-ld","هيتاشي:مكنسة هيتاشي 2100 ( 18 لتر ) | هيتاشي:مكنسة هيتاشي 2000 ( 18 لتر )"
"salla.sa/mamdoh","salla_or_zid","500","null","true","30","1","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.9","salla/zid sitemap+json-ld","ddpai:DDPAI Z60 4K امامي وخلفي GPS | ddpai:داش كام DDPAI Z60 امامية وخلفي GPS | هيتاشي:مكنسة برميل هيتاشي 18 لتر 2100 واط | مكيف:مكيف بيسك انفرتر سبليت 18000وحدة ب"
"salla.sa/jawal-wakthr","salla_or_zid","116","null","true","43","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.616","salla/zid sitemap+json-ld",""
"salla.sa/elinaphone","salla_or_zid","177","null","true","21","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.677","salla/zid sitemap+json-ld",""
"salla.sa/origin.sa","salla_or_zid","500","null","true","55","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.9","salla/zid sitemap+json-ld",""
"salla.sa/iq-z524","salla_or_zid","228","null","true","73","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.728","salla/zid sitemap+json-ld",""
"salla.sa/nineonsa","salla_or_zid","0","null","true","0","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","SKIP","0.4","salla/zid sitemap+json-ld · no catalogue sampled",""
"salla.sa/stnksa","salla_or_zid","0","null","true","0","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","SKIP","0.4","salla/zid sitemap+json-ld · no catalogue sampled",""
"salla.sa/sbah2","salla_or_zid","0","null","true","0","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","SKIP","0.4","salla/zid sitemap+json-ld · no catalogue sampled",""
"salla.sa/danehtech","salla_or_zid","0","null","true","0","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","SKIP","0.4","salla/zid sitemap+json-ld · no catalogue sampled",""
