section,label,value,note
"meta","title","تقرير المستثمر",""
"meta","window","2026-08-26T08:27:45.109Z → 2026-09-25T08:27:45.109Z (partial)","آخر 30 يومًا (متحركة)"
"meta","extracted_at","2026-09-25T08:27:59.509Z","25‏/09‏/2026، 11:27"
"meta","definition_version","2026-09-25.1",""
"الاستخدام المؤهل","متصفحات أرسلت بحثًا","108","إرسال بحث. — لا يثبت أشخاصًا سعوديين أو نية شراء مؤكدة."
"الاستخدام المؤهل","تلقت نتائج غير فارغة","91/108 = 84.3%","أن النظام أعاد نتيجة. — لا يثبت ملاءمة النتيجة أو قراءتها."
"الاستخدام المؤهل","ضغطت رابط المقارنة","3","ضغطة مقارنة مسجلة على هذا السطح. — لا يثبت إتمام مقارنة أو تغطية كل أسطح الموقع."
"الاستخدام المؤهل","فتحت منتجًا بعد البحث","4/108 = 3.7%","فتح صفحة منتج بعد بحث. — لا يثبت أن المنتج هو نتيجة البحث نفسها (لا ربط query_id تاريخيًا)."
"الاستخدام المؤهل","خروج مرتبط مسجل","206","ضغطة فعلية أعقبها طلب تحويل إلى المتجر. — لا يثبت تحميل صفحة التاجر أو شراء."
"الاستخدام المؤهل","بحث تبعه خروج مرتبط","12/108 = 11.1%","ارتباطًا زمنيًا بين بحث وخروج. — لا يثبت سببية أو شراء."
"الدليل التجاري","خروج مرتبط إلى اكسترا","90",""
"الدليل التجاري","خروج مرتبط إلى أمازون","40",""
"الدليل التجاري","خروج مرتبط إلى متجر النخيل","17",""
"الدليل التجاري","خروج مرتبط إلى نجم الأجهزة","16",""
"الدليل التجاري","خروج مرتبط إلى نون","14",""
"الدليل التجاري","حاجة: مكيفات","29 متصفح باحث","166 منتجًا قابلًا للمقارنة برصد خلال 72 ساعة — يحتاج فحص الموديل لكل عرض قبل وعد «أفضل سعر»"
"الدليل التجاري","حاجة: تلفزيونات","19 متصفح باحث","144 منتجًا قابلًا للمقارنة برصد خلال 72 ساعة — يحتاج فحص الموديل لكل عرض قبل وعد «أفضل سعر»"
"الدليل التجاري","حاجة: تابلت","15 متصفح باحث","92 منتجًا قابلًا للمقارنة برصد خلال 72 ساعة — يحتاج فحص الموديل لكل عرض قبل وعد «أفضل سعر»"
"الدليل التجاري","حاجة: جوالات","12 متصفح باحث","196 منتجًا قابلًا للمقارنة برصد خلال 72 ساعة — يحتاج فحص الموديل لكل عرض قبل وعد «أفضل سعر»"
"الدليل التجاري","حاجة: لابتوبات","11 متصفح باحث","32 منتجًا قابلًا للمقارنة برصد خلال 72 ساعة — يحتاج فحص الموديل لكل عرض قبل وعد «أفضل سعر»"
"المال","تكلفة الفترة (F02)","20.6 ريال","1 صفًا بلا تحويل موثق"
"المال","نقد مصروف في الفترة (F01)","43.13 ريال",""
"المال","مستحق غير مدفوع (F03)","0 ريال",""
"المال","إجمالي الصرف منذ البداية (F04)","43.13 ريال","ما أُدخل فقط"
"المال","تغطية تقارير الشركاء (C01)","1/2","أمازون السعودية: 0 تقرير مستورد، 1 إدخال موثق يغطي الفترة · نون: لا تقرير مستورد ولا إدخال موثق يغطي الفترة — غير معلوم"
"المال","عمولات معتمدة (S08)","3.75 ريال",""
"المال","مقبوض نقدًا (S08P)","0 ريال",""
"المال","معلق","0 ريال",""
"المال","مستحق القبض (F08)","3.75 ريال",""
"المال","النتيجة التشغيلية الإدارية (F06)","-16.85 ريال","S08 − F02؛ سياسة إدارية لا محاسبية"
"المال","صافي التدفق النقدي (F07)","-43.13 ريال",""
"المال","تمويل المؤسس (F05)","100 ريال","ليس إيرادًا"
"ما ثبت","✓","108 متصفحًا أرسل بحثًا في الفترة، 91 تلقى نتيجة غير فارغة.",""
"ما ثبت","✓","206 خروجًا مرتبطًا مثبتًا بضغطة فعلية وطلب تحويل.",""
"ما لم يثبت بعد","—","عدد الأشخاص خلف المعرّفات وبشريتهم وإقامتهم.",""
"ما لم يثبت بعد","—","وصول المستخدم إلى المتجر أو إتمام شراء.",""
"الفرضيات قيد الاختبار","إغلاق حلقة الشريك","مطابقة صادرات أمازون ونون تنقل الطلبات والعمولات من مجهول إلى معلوم للفترات المغطاة.",""
"الفرضيات قيد الاختبار","اختبار حاجة المكيف","اختيار واضح بموديل موثق وعرضين صالحين يحسّن إنجاز المهمة والخروج المرتبط؛ يُختبر مع 5 مشاركين قبل أي توسع.",""
"limitations","","معرّف المتصفح (tw_sid) ليس شخصًا ولا زيارة بشرية مؤكدة.",""
"limitations","","الخروج المرتبط يثبت ضغطة فعلية أعقبها طلب تحويل؛ لا يثبت تحميل صفحة التاجر ولا شراء.",""
"limitations","","غياب تقرير الشريك يعني «غير معلوم» لا صفر.",""
"limitations","","النسب ذات المقامات الصغيرة تُعرض بالعدد والمقام ولا تُقرأ كسببية.",""
"limitations","","هذا سجل إدارة للمؤسس، لا قوائم مالية معتمدة.",""
