content_id,platform,format,pillar,product_id,claim_id,status,scheduled_at,published_at,url,utm_campaign,utm_content,qualified_sessions,searches,comparisons,outbounds,decision
cdv-w1-video-01,tiktok,vertical_video_20s,proof,5fd63409-f0e2-40e9-8388-9576b864f732,cdv-w1-claim-01,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-video-01,,,,,
cdv-w1-video-02,tiktok,vertical_video_20s,proof,db8b083e-1e52-4f8b-9c2f-ce9eef530fd4,cdv-w1-claim-02,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-video-02,,,,,
cdv-w1-video-03,tiktok,vertical_video_25s,proof,d5fdff4a-f23e-4c33-a750-cb9859a947af,cdv-w1-claim-03,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-video-03,,,,,
cdv-w1-video-04,tiktok,vertical_video_20s,proof,d5a3e16c-797e-4912-a86e-31baa5f9d426,cdv-w1-claim-04,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-video-04,,,,,
cdv-w1-video-05,tiktok,vertical_video_30s,trust_differentiation,,cdv-w1-claim-05,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-video-05,,,,,
cdv-w1-x-01,x,thread_post_1of5,launch_thread,,cdv-w1-claim-07,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-01,,,,,
cdv-w1-x-02,x,thread_reply_2of5,launch_thread,,cdv-w1-claim-08,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-02,,,,,
cdv-w1-x-03,x,thread_reply_3of5,launch_thread,d5fdff4a-f23e-4c33-a750-cb9859a947af,cdv-w1-claim-03,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-03,,,,,
cdv-w1-x-04,x,thread_reply_4of5,launch_thread,,cdv-w1-claim-05,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-04,,,,,
cdv-w1-x-05,x,thread_reply_5of5,launch_thread,,cdv-w1-claim-06,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-05,,,,,
cdv-w1-x-06,x,single_post,proof,5fd63409-f0e2-40e9-8388-9576b864f732,cdv-w1-claim-01,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-06,,,,,
cdv-w1-x-07,x,single_post,proof,db8b083e-1e52-4f8b-9c2f-ce9eef530fd4,cdv-w1-claim-02,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-07,,,,,
cdv-w1-x-08,x,single_post,proof,d5fdff4a-f23e-4c33-a750-cb9859a947af,cdv-w1-claim-03,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-08,,,,,
cdv-w1-x-09,x,single_post,proof,d5a3e16c-797e-4912-a86e-31baa5f9d426,cdv-w1-claim-04,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-09,,,,,
cdv-w1-x-10,x,single_post,listening_prompt,,,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-x-10,,,,,
cdv-w1-carousel-01,instagram,carousel_6slide,how_it_works,,"cdv-w1-claim-06;cdv-w1-claim-07;cdv-w1-claim-08",DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-carousel-01,,,,,
cdv-w1-carousel-02,instagram,carousel_5slide,proof,"5fd63409-f0e2-40e9-8388-9576b864f732;db8b083e-1e52-4f8b-9c2f-ce9eef530fd4;d5fdff4a-f23e-4c33-a750-cb9859a947af;d5a3e16c-797e-4912-a86e-31baa5f9d426",cdv-w1-claim-06,DRAFT,,,,controlled_demand_validation_wave1,cdv-w1-carousel-02,,,,,
